movie_name,production_year,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,350k_Movies.budget,350k_Movies.genres,350k_Movies.imdb_id,350k_Movies.original_language,350k_Movies.overview,350k_Movies.popularity,350k_Movies.production_companies,350k_Movies.production_countries,350k_Movies.release_date,350k_Movies.revenue,350k_Movies.runtime,350k_Movies.spoken_languages,350k_Movies.tagline,350k_Movies.vote_average,350k_Movies.vote_count,350k_Movies.actor1_name,350k_Movies.actor1_gender,350k_Movies.actor2_name,350k_Movies.actor2_gender,350k_Movies.actor3_name,350k_Movies.actor3_gender,350k_Movies.actor4_name,350k_Movies.actor4_gender,350k_Movies.actor5_name,350k_Movies.actor5_gender,350k_Movies.director_name,350k_Movies.director_gender,350k_Movies.producer_name,350k_Movies.screeplay_name,350k_Movies.editor_name
The Devil Wears Prada,2006,35000000,124740460,201332695,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,109,35000000,Comedy|Drama|Romance,tt0458352,en,The Devil Wears Prada is about a young journalist who moves to New York to work in the fashion industry. Her boss however is extremely demanding and cruel and won’t let her succeed if she doesn’t fit into the high class elegant look of their magazine when all she really wants to be a good journalist.,5.193545,Twentieth Century Fox Film Corporation,United States of America,30/06/2006,326551094,109,English,Meet Andy Sachs. A million girls would kill to have her job. She's not one of them.,7,2765,Meryl Streep,1,Anne Hathaway,1,Emily Blunt,1,Stanley Tucci,2,Simon Baker,2,David Frankel,2,Wendy Finerman,Aline Brosh McKenna,Mark Livolsi
The Fountain,2006,35000000,10144010,5317628,PG-13,Science Fiction,Original Screenplay,Live Action,Drama,0,96,35000000,Drama|Adventure|Science Fiction|Romance,tt0414993,en,"Spanning over one thousand years, and three parallel stories, The Fountain is a story of love, death, spirituality, and the fragility of our existence in this world.",2.148544,Regency Enterprises,United States of America,6/9/2006,15304890,96,English,Death is the road to awe,6.8,764,Hugh Jackman,2,Rachel Weisz,1,Ellen Burstyn,1,Mark Margolis,2,Stephen McHattie,2,Darren Aronofsky,2,Arnon Milchan,Darren Aronofsky,Jay Rabinowitz
Bandidas,2006,35000000,0,19282590,PG-13,Historical Fiction,Original Screenplay,Live Action,Western,0,93,35000000,Action|Comedy|Western|Crime,tt0416496,es,"Set in the late 19th century. When a ruthless robber baron takes away everything they cherish, a rough-and-tumble, idealistic peasant and a sophisticated heiress embark on a quest for justice, vengeance…and a few good heists.",2.87176,Ultra Films,United States of America,18/01/2006,10496317,93,English,Being BAD never looked so GOOD!,5.8,271,PenÃ©lope Cruz,1,Salma Hayek,1,Dwight Yoakam,2,Steve Zahn,2,Denis Arndt,2,Joachim RÃ¸nning,0,Luc Besson,none,FrÃ©dÃ©ric Thoraval
The Prestige,2006,40000000,53089891,51317475,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,130,40000000,Drama|Mystery|Thriller,tt0482571,en,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",7.54731,Touchstone Pictures,United States of America,19/10/2006,109676311,130,English,Are You Watching Closely?,7.9,3974,Hugh Jackman,2,Christian Bale,2,Michael Caine,2,Scarlett Johansson,1,Andy Serkis,2,Christopher Nolan,2,Aaron Ryder,Jonathan Nolan,Lee Smith
The Lake House,2006,40000000,52330111,62500000,PG,Fantasy,Remake,Live Action,Drama,0,99,40000000,Romance|Drama|Mystery,tt0410297,en,"A lonely doctor who once occupied an unusual lakeside home begins exchanging love letters with its former resident, a frustrated architect. They must try to unravel the mystery behind their extraordinary romance before it's too late.",2.347549,Village Roadshow Pictures,United States of America,16/06/2006,114830111,99,English,How do you hold on to someone you've never met?,6.5,614,Keanu Reeves,2,Sandra Bullock,1,Shohreh Aghdashloo,1,Christopher Plummer,2,Ebon Moss-Bachrach,2,Alejandro Agresti,2,Doug Davison,David Auburn,Alejandro Brodersohn
Apocalypto,2006,40000000,50866635,70165637,R,Historical Fiction,Original Screenplay,Live Action,Adventure,0,138,40000000,Action|Adventure|Drama|Thriller,tt0472043,en,"Set in the Mayan civilization, when a man's idyllic presence is brutally disrupted by a violent invading force, he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him. Through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life.",3.024438,Icon Productions,United States of America,7/12/2006,120175290,139,English,No one can outrun their destiny.,7.2,1139,Rudy Youngblood,2,Raoul Max Trujillo,2,Gerardo Taracena,2,Iazua Larios,1,Antonio Monroy,2,Mel Gibson,2,Mel Gibson,none,John Wright
16 Blocks,2006,45000000,36895141,28700000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0,105,55000000,Action|Adventure|Crime|Thriller,tt0450232,en,"An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.",2.815345,Donners' Company,United States of America,1/3/2006,65664721,105,English,"For a New York cop and his witness, the distance between life and death just got very short.",6.2,616,Bruce Willis,2,Yasiin Bey,2,David Morse,2,Jenna Stern,0,David Zayas,2,Richard Donner,2,Randall Emmett,Richard Wenk,Steve Mirkovich
Miami Vice,2006,135000000,63478838,100339718,R,Contemporary Fiction,Based on TV,Live Action,Action,0,132,135000000,Action|Adventure|Crime|Thriller,tt0430357,en,Miami Vice is a feature film based on the 1980s action drama TV series. The film tells the story of vice detectives Crockett and Tubbs and how their personal and professional lives are dangerously getting mixed.,1.74601,Universal Pictures,Uruguay,27/07/2006,163794509,134,English,No Law. No Rules. No Order.,5.7,451,Jamie Foxx,2,Colin Farrell,2,Gong Li,1,Luis Tosar,2,Naomie Harris,1,Michael Mann,2,Michael Mann,none,William Goldenberg
Inside Man,2006,50000000,88634237,97164028,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,128,45000000,Crime|Drama|Thriller,tt0454848,en,"Bank robber Dalton Russell enters a Manhattan bank, locks the doors and takes hostages, working methodically and without haste. Detective Frazier is assigned to negotiate, but his mind is occupied with the corruption charges he is facing. With an army of police surrounding the bank, the thief, the cop and a high-profile 'fixer' enter high-stakes negotiations.",2.602143,Imagine Entertainment,United States of America,23/03/2006,184376254,129,English,It looked like the perfect bank robbery. But you can't judge a crime by its cover.,7.3,1517,Denzel Washington,2,Clive Owen,2,Jodie Foster,1,Christopher Plummer,2,Willem Dafoe,2,Spike Lee,2,Brian Grazer,none,Barry Alexander Brown
"You, Me and Dupree",2006,54000000,75802010,54600000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,109,54000000,Comedy|Romance,tt0463034,en,"After standing in as best man for his longtime friend Carl Petersen, Randy Dupree loses his job, becomes a barfly and attaches himself to the newlywed couple almost permanently -- as their houseguest. But the longer Dupree camps out on their couch, the closer he gets to Carl's bride, Molly, leaving the frustrated groom wondering when his pal will be moving out.",0.948877,Universal Pictures,United States of America,14/07/2006,130431368,108,English,Two's company. Dupree's a crowd.,5.4,376,Kate Hudson,1,Owen Wilson,2,Matt Dillon,2,Michael Douglas,2,Seth Rogen,2,Anthony Russo,2,Scott Stuber,Michael LeSieur,Peter B. Ellis
The Pursuit of Happyness,2006,55000000,162586036,144739597,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,117,55000000,Drama,tt0454921,en,"The true story of Christopher Gardner, who invests heavily in a device known as a 'Bone Density Scanner', only to find himself struggle to sell the product as it's just marginally better than the current technology, and much more expensive. His wife leaves him,  he loses his house, bank account and credit cards and, now forced to live out in the streets with his young son,  he's desperate to find a steady job. He takes on a job as a stockbroker but, before he can receive pay, he needs to go through 6 months of training, and must sell his devices.",5.092566,Columbia Pictures Corporation,United States of America,14/12/2006,307077295,117,English,,7.7,2258,Will Smith,2,Jaden Smith,2,Thandie Newton,1,Brian Howe,0,James Karen,2,Gabriele Muccino,2,Steve Tisch,Steve Conrad,Hughes Winborne
World Trade Center,2006,65000000,70278893,93016761,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,129,63000000,Drama|History|Thriller,tt0469641,en,"On September, 11th 2001, after the terrorist attack to the World Trade Center, the building collapses over the rescue team from the Port Authority Police Department. Will Jimeno and his sergeant John McLoughlin are found alive trapped under the wreckage while the rescue teams fight to save them.",2.39057,Paramount Pictures,United States of America,9/8/2006,162945894,128,English,The world saw evil that day. Two men saw something else.,5.9,413,Nicolas Cage,2,Maria Bello,1,Maggie Gyllenhaal,1,Michael PeÃ±a,2,Jay Hernandez,2,Oliver Stone,2,Debra Hill,none,David Brenner
Ice Age: The Meltdown,2006,75000000,195330621,456568661,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1,91,80000000,Animation|Family|Comedy|Adventure,tt0438097,en,"Diego, Manny and Sid return in this sequel to the hit animated movie Ice Age. This time around, the deep freeze is over, and the ice-covered earth is starting to melt, which will destroy the trio's cherished valley. The impending disaster prompts them to reunite and warn all the other beasts about the desperate situation.",4.41089,Blue Sky Studios,United States of America,23/03/2006,660940780,91,English,The Ice age is melting away.,6.5,2645,Ray Romano,2,John Leguizamo,2,Denis Leary,2,Queen Latifah,1,Seann William Scott,2,Carlos Saldanha,2,Lori Forte,Jon Vitti,Tim Nordquist
Dreamgirls,2006,75000000,103365956,52342739,PG-13,Historical Fiction,Based on Musical or Opera,Live Action,Musical,0,130,70000000,Drama,tt0443489,en,"Three young women – Deena Jones, Effie White and Lorrell Robinson – dream of becoming pop stars and they get their wish when they're chosen to be backup singers for the legendary James 'Thunder' Early.",0.929797,Paramount Pictures,United States of America,25/12/2006,154937680,134,English,One Dream Will Change Everything,6.5,250,Jamie Foxx,2,BeyoncÃ© Knowles,1,Eddie Murphy,2,Danny Glover,2,Jennifer Hudson,1,Bill Condon,2,David Geffen,Bill Condon,Virginia Katz
The Pink Panther,2006,80000000,82226474,76700000,PG,Historical Fiction,,Live Action,Adventure,1,93,0,Comedy|Crime,tt0057413,en,"The trademark of The Phantom, a renowned jewel thief, is a glove left at the scene of the crime. Inspector Clouseau, an expert on The Phantom's exploits, feels sure that he knows where The Phantom will strike next and leaves Paris for Switzerland, where the famous Lugashi jewel 'The Pink Panther' is going to be. However, he does not know who The Phantom really is, or for that matter who anyone else really is...",1.871113,United Artists,United States of America,19/12/1963,10878107,115,English,A Madcap Frolic Of Crime and Fun,6.9,224,David Niven,2,Peter Sellers,2,Robert Wagner,2,Capucine,1,Brenda De Banzie,1,Blake Edwards,2,Martin Jurow,Blake Edwards,Ralph E. Winters
The Holiday,2006,85000000,63280000,141910324,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,135,85000000,Comedy|Romance,tt0457939,en,"Two women, one (Cameron Diaz) from America and one (Kate Winslet) from Britain, swap homes at Christmastime after bad breakups with their boyfriends. Each woman finds romance with a local man (Jude Law, Jack Black) but realizes that the imminent return home may end the relationship.",2.989596,Columbia Pictures,United Kingdom,8/12/2006,194168700,136,English,It's Christmas Eve and we are going to go celebrate being young and being alive.,6.7,1122,Cameron Diaz,1,Kate Winslet,1,Jude Law,2,Jack Black,2,Eli Wallach,2,Nancy Meyers,1,Nancy Meyers,Nancy Meyers,Joe Hutshing
The Departed,2006,90000000,132384315,157276304,R,Contemporary Fiction,Remake,Live Action,Drama,0,151,90000000,Drama|Thriller|Crime,tt0407887,en,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",8.384518,Vertigo Entertainment,Hong Kong,5/10/2006,289847354,151,English,Lies. Betrayal. Sacrifice. How far will you take it?,7.9,4009,Leonardo DiCaprio,2,Matt Damon,2,Jack Nicholson,2,Mark Wahlberg,2,Martin Sheen,2,Martin Scorsese,2,Brad Pitt,William Monahan,Thelma Schoonmaker
Blood Diamond,2006,100000000,57377916,114000000,R,Historical Fiction,Original Screenplay,Live Action,Action,0,143,100000000,Drama|Thriller|Action,tt0450259,en,"An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide.",4.111459,Bedford Falls Productions,Germany,7/12/2006,170877916,143,Afrikaans,It will cost you everything.,7.3,2101,Leonardo DiCaprio,2,Djimon Hounsou,2,Jennifer Connelly,1,Kagiso Kuypers,0,Arnold Vosloo,2,Edward Zwick,2,Gillian Gorfil,Charles Leavitt,Steven Rosenblum
Night at the Museum,2006,110000000,250863268,328583139,PG,Kids Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0,108,110000000,Action|Adventure|Comedy|Family|Fantasy,tt0477347,en,"Chaos reigns at the natural history museum when night watchman Larry Daley accidentally stirs up an ancient curse, awakening Attila the Hun, an army of gladiators, a Tyrannosaurus rex and other exhibits. Larry tries desperately to keep the museum under control, but he's fighting a losing battle until President Teddy Roosevelt comes to the rescue.",5.187454,Ingenious Film Partners,United States of America,20/10/2006,574480841,108,English,Where History Comes To Life,6.3,2559,Ben Stiller,2,Jake Cherry,2,Carla Gugino,1,Robin Williams,2,Dick Van Dyke,2,Shawn Levy,2,Michael Barnathan,Ben Garant,Don Zimmerman
The Da Vinci Code,2006,125000000,217536138,550284321,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,152,125000000,Thriller|Mystery,tt0382625,en,"When the curator of the Louvre is found murdered in the famed museum's hallowed halls, Harvard professor, Robert Langdon and cryptographer, Sophie Neve must untangle a deadly web of deceit involving the works of Leonardo da Vinci.",5.137319,Columbia Pictures,United States of America,17/05/2006,767820459,149,English,Seek the truth.,6.4,2473,Tom Hanks,2,Audrey Tautou,1,Ian McKellen,2,Paul Bettany,2,Jean Reno,2,Ron Howard,2,Brian Grazer,Akiva Goldsman,Daniel P. Hanley
Mission: Impossible III,2006,150000000,133501348,264000000,PG-13,Contemporary Fiction,Based on TV,Live Action,Action,1,126,150000000,Adventure|Action|Thriller,tt0317919,en,"Retired from active duty to train new IMF agents, Ethan Hunt is called back into action to confront sadistic arms dealer, Owen Davian. Hunt must try to protect his girlfriend while working with his new team to complete the mission.",4.048455,Paramount Pictures,China,3/5/2006,397850012,126,Deutsch,The Mission Begins 05:05:06.,6.5,1897,Tom Cruise,2,Philip Seymour Hoffman,2,Ving Rhames,2,Billy Crudup,2,Jonathan Rhys Meyers,2,J.J. Abrams,2,Tom Cruise,none,Maryann Brandon
Superman Returns,2006,232000000,200120000,173965065,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,0,150,270000000,Adventure|Fantasy|Action|Science Fiction,tt0348150,en,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",3.596917,DC Comics,United States of America,28/06/2006,391081192,154,English,,5.4,1302,Brandon Routh,2,Kevin Spacey,2,Kate Bosworth,1,James Marsden,2,Parker Posey,1,Bryan Singer,2,Bryan Singer,Michael Dougherty,Elliot Graham
Saw IV,2007,10000000,63300095,72459599,R,Contemporary Fiction,Original Screenplay,Live Action,Horror,1,95,10000000,Horror|Thriller|Crime,tt0890870,en,"Jigsaw and his apprentice Amanda are dead. Now, upon the news of Detective Kerry's murder, two seasoned FBI profilers, Agent Strahm and Agent Perez, arrive in the terrified community to assist the veteran Detective Hoffman in sifting through Jigsaw's latest grisly remains and piecing together the puzzle. However, when SWAT Commander Rigg is abducted and thrust into a game, the last officer untouched by Jigsaw has but ninety minutes to overcome a series of demented traps and save an old friend...or face the deadly consequences.",3.182113,Lions Gate Films,United States of America,25/10/2007,139352633,93,English,You think it is over...but the games have just begun,5.9,799,Tobin Bell,2,Scott Patterson,2,Costas Mandylor,2,Betsy Russell,1,Lyriq Bent,2,Darren Lynn Bousman,2,Oren Koules,Patrick Melton,Brett Sullivan
"Paris, je t'aime",2007,13000000,4857374,317714,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,120,13000000,Drama|Romance,tt0401711,fr,"Olivier Assayas, Gus Van Sant, Wes Craven and Alfonso Cuaron are among the 20 distinguished directors who contribute to this collection of 18 stories, each exploring a different aspect of Parisian life. The colourful characters in this drama include a pair of mimes, a husband trying to chose between his wife and his lover, and a married man who turns to a prostitute for advice.",0.780272,Filmazure,France,16/05/2006,4857367,120,Español,Fall in love with Paris 18 times.,6.7,194,Steve Buscemi,2,Natalie Portman,1,Willem Dafoe,2,Maggie Gyllenhaal,1,Axel Kiener,0,Isabel Coixet,1,Claudie Ossard,none,Mathilde Bonnefoy
Stomp the Yard,2007,14000000,61356221,14169497,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,116,13000000,Drama|Music,tt0775539,en,"After the death of his younger brother, a troubled 19-year-old street dancer from Los Angeles is able to bypass juvenile hall by enrolling in the historically black, Truth University in Atlanta, Georgia. But his efforts to get an education and woo the girl he likes are sidelined when he is courted by the top two campus fraternities, both of which want and need his fierce street-style dance moves to win the highly coveted national step show competition.",1.571037,Rainforest Films,United States of America,16/05/2007,75511123,114,English,He will challenge their traditions. Their traditions will change his life.,5.9,81,Columbus Short,2,Meagan Good,1,Ne-Yo,2,Darrin Henson,2,Jermaine Williams,2,Sylvain White,2,William Packer,Robert Adetuyi,David Checel
Halloween,2007,15000000,58269151,19245250,R,Fantasy,Original Screenplay,Live Action,Horror,1,109,300000,Horror|Thriller,tt0077651,en,"In John Carpenter's horror classic, a psychotic murderer, institutionalized since childhood for the murder of his sister, escapes and stalks a bookish teenage girl and her friends while his doctor chases him through the streets.",2.737736,Compass International Pictures,United States of America,25/10/1978,70000000,91,English,The Night He Came Home,7.4,939,Donald Pleasence,2,Jamie Lee Curtis,1,P.J. Soles,1,Nancy Kyes,1,Nick Castle,2,John Carpenter,2,Debra Hill,Debra Hill,Charles Bornstein
28 Weeks Later,2007,15000000,28638916,35593798,R,Science Fiction,Original Screenplay,Live Action,Horror,1,100,15000000,Horror|Thriller|Science Fiction,tt0463854,en,"In this chilling sequel to 28 Days Later, the inhabitants of the British Isles appear to have lost their battle against the onslaught of disease, as the deadly rage virus has killed every citizen there. Six months later, a group of Americans dare to set foot on the isles, convinced the danger has come and gone. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims.",2.960418,DNA Films,Spain,26/04/2007,64238440,100,English,When days turn to weeks... the horror returns.,6.5,1119,Imogen Poots,1,Robert Carlyle,2,Rose Byrne,1,Jeremy Renner,2,Harold Perrineau,2,Juan Carlos Fresnadillo,2,Andrew Macdonald,Juan Carlos Fresnadillo,Chris Gill
The Dark Knight,2008,185000000,533345358,468275260,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,1,152,185000000,Drama|Action|Crime|Thriller,tt0468569,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",14.074094,DC Comics,United Kingdom,16/07/2008,1004558444,152,English,Why So Serious?,8.2,11168,Christian Bale,2,Michael Caine,2,Heath Ledger,2,Aaron Eckhart,2,Gary Oldman,2,Christopher Nolan,2,Charles Roven,Christopher Nolan,Lee Smith
A Mighty Heart,2007,15000000,9176787,9976781,R,Dramatization,Based on Fiction Book/Short Story,Live Action,Drama,0,108,16000000,Drama|Thriller,tt0829459,en,"Based on Mariane Pearl's account of the terrifying and unforgettable story of her husband, Wall Street Journal reporter Danny Pearl's life and death.",1.022464,Plan B Entertainment,France,1/1/2007,18928871,100,English,One woman dared to keep hope alive,6.7,91,Angelina Jolie,1,Dan Futterman,2,Irrfan Khan,2,Archie Panjabi,1,Denis O'Hare,2,Michael Winterbottom,2,Brad Pitt,John Orloff,Peter Christelis
